"id";"line";"contents";"class_name";"class_value";"path"
"../../../../../../../users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c:1";1;"UINT  _nx_web_http_server_param_get(NX_PACKET *packet_ptr, UINT param_number, CHAR *param_ptr, UINT *param_size, UINT max_param_size)";"ignore";0;"/mnt/c/users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c"
"../../../../../../../users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c:2";2;"{";"ignore";0;"/mnt/c/users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c"
"../../../../../../../users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c:3";3;"";"ignore";0;"/mnt/c/users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c"
"../../../../../../../users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c:4";4;"UINT    i;";"ignore";0;"/mnt/c/users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c"
"../../../../../../../users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c:5";5;"UINT    current_param;";"ignore";0;"/mnt/c/users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c"
"../../../../../../../users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c:6";6;"CHAR    *buffer_ptr;";"ignore";0;"/mnt/c/users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c"
"../../../../../../../users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c:7";7;"";"ignore";0;"/mnt/c/users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c"
"../../../../../../../users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c:8";8;"";"ignore";0;"/mnt/c/users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c"
"../../../../../../../users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c:9";9;"    /* Set the destination string to NULL.  */";"ignore";0;"/mnt/c/users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c"
"../../../../../../../users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c:10";10;"    param_ptr[0] =  (CHAR) NX_NULL;";"ignore";0;"/mnt/c/users/miros/documents/Code/cybersecurity_code_database/cs_input_validation/evaluation/line_1636.c"
